"Environment and Climate Change Canada"
"Monthly Values for February - 2006"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ANNAPOLIS ROYAL","44.750","-65.517","NS","-3.1","0","0.7","15.0","0","-16.0","0","57.0","1",NA,"87.2","2",NA,"","12","","",NA,"590.7","0.0","8200100"
"AVONDALE","45.017","-64.117","NS","-4.7","0",NA,"13.5","0","-16.5","0","27.6","1",NA,"33.0","3",NA,"5.0","7","","",NA,"634.2","0.0","8200210"
"BACCARO POINT","43.449","-65.471","NS","-1.8","0",NA,"9.0","0","-14.8","0","",,NA,"",,NA,"","","","",NA,"553.6","0.0","8200254"
"BADDECK BELL","46.100","-60.750","NS","-4.2","1",NA,"11.0","1","-18.0","0","38.2","1",NA,"103.0","1",NA,"12.0","11","","",NA,"598.1","0.0","8200301"
"BEAR RIVER","44.567","-65.633","NS","",,NA,"",,"",,"78.0","4",NA,"116.0","4",NA,"","10","","",NA,"","","8200500"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-2.6","0",NA,"7.0","0","-16.1","0","",,NA,"",,NA,"","","",,NA,"575.9","0.0","8200558"
"BERWICK","45.083","-64.733","NS","-4.9","1",NA,"13.5","1","-22.0","1","68.0","0",NA,"88.2","1",NA,"","14","","",NA,"618.0","0.0","8200578"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"64.0","0",NA,"89.4","0",NA,"","15","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","-3.3","0","0.9","12.5","0","-19.0","0","34.7","1",NA,"101.1","2",NA,"","9","","",NA,"597.4","0.0","8200600"
"BRIER ISLAND","44.286","-66.347","NS","-0.7","0",NA,"11.7","0","-13.0","0","",,NA,"41.3","0",NA,"","6","",,NA,"523.0","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-4.5","0",NA,"10.1","0","-17.8","0","",,NA,"32.1","0",NA,"2.0","6","",,NA,"629.9","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","-1.8","0","-0.2","12.5","0","-13.0","0","4.8","9",NA,"46.8","9",NA,"0.0","7","","",NA,"555.3","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","-3.6","0",NA,"12.4","0","-16.0","0","",,NA,"57.0","0",NA,"6.0","11","","",NA,"604.2","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","-5.1","0","1.0","10.5","0","-20.0","0","20.2","1",NA,"26.4","2",NA,"","4","","",NA,"648.1","0.0","8201000"
"DEBERT","45.417","-63.467","NS","-5.6","0",NA,"11.3","0","-20.6","0","",,NA,"60.3","0",NA,"13.0","11","",,NA,"659.8","0.0","8201390"
"DEMING","45.216","-61.178","NS","-2.7","0","1.4","7.5","0","-17.0","0","10.0","1",NA,"57.0","1",NA,"0.0","6","","",NA,"579.3","0.0","8201410"
"GRAND ETANG","46.550","-61.050","NS","-3.1","0",NA,"12.5","0","-15.5","0","",,NA,"",,NA,"","","","",NA,"589.6","0.0","8201969"
"GREENWOOD A","44.983","-64.917","NS","-4.8","0","0.1","14.6","0","-19.4","0","93.9","0","177.0","68.6","0","81.0","17.0","13","",,NA,"638.7","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","-5.1","0","0.1","10.4","0","-18.0","0","41.1","0","91.0","91.9","0","87.0","6.0","7","",,NA,"646.3","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","-2.5","0",NA,"8.9","0","-16.3","0","",,NA,"",,NA,"","","",,NA,"575.2","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","-3.7","0",NA,"10.5","0","-18.2","0","",,NA,"71.0","0",NA,"12.0","9","",,NA,"607.1","0.0","8202502"
"KEJIMKUJIK 1","44.432","-65.203","NS","-4.2","0",NA,"12.6","0","-17.7","0","",,NA,"85.9","0",NA,"17.0","17","",,NA,"621.9","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-4.1","0",NA,"13.1","0","-18.1","0","",,NA,"44.9","0",NA,"4.0","8","",,NA,"619.9","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-3.6","1",NA,"10.5","1","-16.5","0","16.0","1",NA,"76.7","1",NA,"","8","","",NA,"582.4","0.0","8202896"
"LIVERPOOL BIG FALLS","44.133","-64.933","NS","-3.6","0","-0.1","12.0","0","-18.5","0","29.2","0","76.0","86.0","0","70.0","3.0","11","","",NA,"605.9","0.0","8203100"
"LOUISBOURG","45.900","-60.000","NS","-3.8","0","1.4","9.0","0","-17.0","0","40.0","0","71.0","112.8","0","82.0","","7","","",NA,"611.5","0.0","8203161"
"LUNENBURG","44.360","-64.296","NS","-2.7","0",NA,"9.7","0","-14.7","0","",,NA,"",,NA,"","","","",NA,"580.9","0.0","8203210"
"LYONS BROOK","45.658","-62.797","NS","-4.4","0","1.5","11.0","0","-18.0","0","26.5","1",NA,"64.5","1",NA,"1.0","9","","",NA,"626.6","0.0","8203230"
"MALAY FALLS","44.983","-62.483","NS","-4.4","0",NA,"10.7","0","-20.7","0","",,NA,"77.5","0",NA,"","6","","",NA,"626.7","0.0","8203405"
"MCNABS ISLAND (AUT)","44.600","-63.533","NS","-2.8","0",NA,"8.7","0","-15.9","0","",,NA,"",,NA,"","","","",NA,"582.2","0.0","8203478"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","-4.7","0","0.6","12.0","0","-21.0","0","42.0","1",NA,"86.8","1",NA,"","11","","",NA,"634.3","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","-5.4","0",NA,"13.5","0","-18.3","0","",,NA,"64.3","0",NA,"2.0","12","",,NA,"655.6","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","-6.6","0",NA,"8.2","0","-19.9","0","",,NA,"80.1","0",NA,"92.0","15","","",NA,"689.5","0.0","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","-4.9","0",NA,"12.3","0","-20.0","0","",,NA,"52.8","0",NA,"3.0","9","",,NA,"640.9","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","-5.5","0",NA,"13.5","0","-20.7","0","",,NA,"70.4","0",NA,"6.0","13","",,NA,"658.8","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-3.8","14","1.3","9.5","13","-16.5","10","22.8","1",NA,"25.6","4",NA,"","6","","",NA,"305.4","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","-3.7","0",NA,"10.4","0","-18.8","0","60.0","0",NA,"103.5","0",NA,"","7","","",NA,"608.8","0.0","8204456"
"HAWKESBURY","45.617","-61.367","NS","-3.4","0",NA,"10.5","0","-17.0","0","41.2","1",NA,"79.6","1",NA,"5.0","12","","",NA,"598.7","0.0","8204493"
"PUGWASH","45.843","-63.655","NS","-4.1","3","1.9","12.0","1","-18.0","2","4.0","3",NA,"23.8","3",NA,"","5","","",NA,"552.8","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","-0.3","0",NA,"9.6","0","-10.8","0","",,NA,"42.0","0",NA,"","9","",,NA,"513.1","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","-3.9","0","1.2","12.5","0","-17.0","0","20.0","1",NA,"75.4","1",NA,"","4","","",NA,"614.0","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-3.3","0",NA,"7.7","0","-14.4","0","",,NA,"",,NA,"","","",,NA,"596.8","0.0","8204909"
"SHEARWATER A","44.633","-63.500","NS","-3.6","0","0.6","10.3","0","-16.0","0","36.9","0","91.0","95.6","0","91.0","1.0","7","142.9","0","112.0","605.6","0.0","8205090"
"SHEARWATER AUTO","44.636","-63.507","NS","-2.9","0",NA,"11.6","0","-15.9","0","",,NA,"72.0","0",NA,"0.0","6","",,NA,"584.5","0.0","8205091"
"SOUTH MOUNTAIN","45.017","-64.683","NS","-4.7","0",NA,"13.0","0","-18.0","0","71.8","0",NA,"91.4","1",NA,"30.0","16","","",NA,"635.7","0.0","8205185"
"SOUTH SIDE HARBOUR","45.617","-61.900","NS","-4.7","0",NA,"10.7","0","-18.5","0","34.9","0",NA,"53.7","0",NA,"6.0","7","","",NA,"635.1","0.0","8205193"
"SYDNEY A","46.167","-60.048","NS","-4.8","0","1.1","9.7","0","-17.9","0","59.4","0","91.0","93.6","0","73.0","5.0","8","",,NA,"638.5","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","-4.5","0",NA,"9.9","0","-18.6","0","",,NA,"60.1","0",NA,"0.0","7","",,NA,"629.7","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","-5.8","2",NA,"12.0","1","-18.0","1","21.6","0",NA,"47.4","0",NA,"","7","","",NA,"618.0","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","-4.1","0",NA,"11.5","0","-17.9","0","",,NA,"38.4","0",NA,"1.0","8","",,NA,"618.1","0.0","8205895"
"TUSKET","43.883","-65.983","NS","",,NA,"",,"",,"42.0","1",NA,"101.8","1",NA,"","7","","",NA,"","","8206100"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","-4.1","0","0.8","14.0","0","-19.0","0","53.0","0","122.0","82.9","0","96.0","8.0","16","","",NA,"619.9","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","-2.8","0",NA,"8.5","0","-15.7","0","",,NA,"91.2","0",NA,"4.0","10","",,NA,"583.7","0.0","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"38.0","3",NA,"78.0","4",NA,"","9","","",NA,"","","8206316"
