"Environment and Climate Change Canada"
"Monthly Values for February - 2014"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","-1.5","0",NA,"11.3","0","-13.1","0","",,NA,"122.6","0",NA,"4.0","11","",,NA,"546.1","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-3.1","0",NA,"6.8","0","-15.5","0","",,NA,"",,NA,"","","",,NA,"591.0","0.0","8200558"
"BRIDGEWATER","44.400","-64.550","NS","-3.7","0","0.6","11.0","0","-23.0","0","79.8","0","178.0","79.8","0","67.0","9.0","8","","",NA,"606.8","0.0","8200600"
"BRIER ISLAND","44.286","-66.347","NS","-1.8","1",NA,"8.6","1","-10.7","1","",,NA,"76.0","1",NA,"1.0","10","",,NA,"534.1","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-5.7","0",NA,"11.2","0","-18.1","0","",,NA,"66.7","0",NA,"29.0","10","",,NA,"662.7","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","-3.2","14","-1.5","5.0","14","-13.0","14","0.0","14",NA,"0.0","14",NA,"","0","","",NA,"296.9","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","-6.2","0",NA,"13.1","0","-18.9","0","",,NA,"78.0","0",NA,"29.0","12","",,NA,"678.3","0.0","8200827"
"CHETICAMP SNOW","46.633","-60.950","NS","",,NA,"",,"",,"51.6","1",NA,"51.6","1",NA,"12.0","10","","",NA,"","","8200830"
"COLLEGEVILLE","45.483","-62.017","NS","-7.6","0","-1.5","10.0","0","-26.0","0","0.0","0","0.0","0.0","0","0.0","","0","","",NA,"717.5","0.0","8201000"
"DEBERT","45.417","-63.467","NS","-7.8","0",NA,"6.9","0","-25.9","0","",,NA,"84.3","0",NA,"17.0","10","",,NA,"722.8","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","-4.9","0",NA,"7.5","0","-17.7","0","",,NA,"114.2","11",NA,"20.0","8","",,NA,"641.5","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","-4.8","0","0.1","10.5","0","-20.3","0","84.0","0","159.0","102.2","0","121.0","22.0","12","",,NA,"638.6","0.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","-5.1","0",NA,"8.8","0","-19.4","0","50.2","0",NA,"131.6","0",NA,"12.0","16","",,NA,"645.6","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","-3.7","0",NA,"7.7","0","-14.0","0","",,NA,"",,NA,"","","",,NA,"608.6","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","-6.7","0",NA,"9.7","0","-21.6","0","",,NA,"136.6","2",NA,"80.0","8","",,NA,"691.2","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","-4.9","0",NA,"9.6","0","-22.0","0","",,NA,"",,NA,"29.0","","",,NA,"640.0","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-4.8","0",NA,"10.7","0","-19.0","0","",,NA,"125.9","0",NA,"24.0","12","",,NA,"639.2","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-4.0","5",NA,"10.0","5","-22.0","5","24.5","5",NA,"106.5","5",NA,"","12","","",NA,"506.3","0.0","8202896"
"LYONS BROOK","45.658","-62.797","NS","-4.7","14","1.2","11.5","13","-21.0","14","63.0","12",NA,"78.0","12",NA,"","10","","",NA,"317.1","0.0","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","-4.9","0","0.3","10.0","0","-26.5","0","64.0","0","155.0","130.4","0","130.0","","12","","",NA,"641.8","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","-7.0","0",NA,"9.4","0","-23.2","0","",,NA,"99.1","2",NA,"41.0","10","",,NA,"698.8","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"83.6","4",NA,"175.0","10","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","-6.5","0",NA,"10.1","0","-28.9","0","",,NA,"92.8","0",NA,"4.0","10","",,NA,"686.2","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","-6.6","0",NA,"8.4","0","-22.3","0","",,NA,"107.6","1",NA,"14.0","11","",,NA,"689.9","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-3.9","5","1.3","17.0","5","-19.0","5","27.6","5",NA,"134.2","5",NA,"","9","","",NA,"502.8","0.0","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","-6.6","1",NA,"8.9","1","-21.4","1","",,NA,"84.6","1",NA,"","7","",,NA,"663.4","0.0","8204495"
"SABLE ISLAND","43.932","-60.009","NS","-0.3","2",NA,"11.6","2","-10.1","2","",,NA,"94.0","3",NA,"","16","",,NA,"475.8","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","-4.2","2","0.9","11.0","1","-21.0","1","51.0","1",NA,"135.3","1",NA,"0.0","9","","",NA,"577.3","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-6.3","0",NA,"6.2","0","-14.3","0","",,NA,"",,NA,"","","",,NA,"679.9","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","-3.3","0",NA,"9.9","0","-16.3","0","",,NA,"125.1","0",NA,"5.0","13","",,NA,"597.3","0.0","8205092"
"SYDNEY A","46.167","-60.048","NS","-6.6","0","-0.7","7.9","0","-22.2","0","65.0","0","99.0","153.3","0","120.0","21.0","14","",,NA,"688.8","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","-6.3","0",NA,"8.2","0","-22.2","0","",,NA,"114.9","0",NA,"28.0","11","",,NA,"679.8","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","-6.3","2",NA,"12.0","1","-23.0","1","43.5","1",NA,"52.3","1",NA,"0.0","8","","",NA,"632.2","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","-5.4","0",NA,"10.0","0","-17.5","0","",,NA,"80.9","2",NA,"","10","",,NA,"655.4","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","-4.4","0","0.5","11.0","0","-22.0","0","66.0","0","151.0","103.7","0","120.0","19.0","9","","",NA,"627.7","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","-2.8","0",NA,"11.7","0","-18.6","0","",,NA,"149.1","0",NA,"","13","",,NA,"582.1","0.0","8206240"
"YARMOUTH RCS","43.831","-66.088","NS","-2.5","0",NA,"9.2","0","-15.8","0","",,NA,"141.8","2",NA,"","11","",,NA,"574.1","0.0","8206491"
"YARMOUTH A","43.827","-66.088","NS","-2.7","0",NA,"8.6","0","-17.2","0","79.8","0",NA,"153.6","0",NA,"5.0","13","",,NA,"579.3","0.0","8206495"
