"Environment and Climate Change Canada"
"Monthly Values for April - 2006"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO POINT","43.449","-65.471","NS","5.5","0",NA,"14.4","0","-1.6","0","",,NA,"",,NA,"0.0","","","",NA,"375.1","0.0","8200254"
"BADDECK BELL","46.100","-60.750","NS","5.2","1",NA,"15.0","1","-3.0","1","25.1","1",NA,"163.3","1",NA,"0.0","15","","",NA,"370.0","0.0","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","4.5","0",NA,"12.3","0","-0.7","0","",,NA,"",,NA,"0.0","","",,NA,"405.7","0.0","8200558"
"BERWICK","45.083","-64.733","NS","6.0","2",NA,"22.0","2","-4.0","2","0.0","2",NA,"106.8","2",NA,"0.0","11","","",NA,"335.0","0.0","8200578"
"BRIDGEWATER","44.400","-64.550","NS","6.5","0","1.5","20.5","0","-3.0","0","1.0","0","7.0","130.0","0","102.0","0.0","15","","",NA,"344.9","0.0","8200600"
"BRIER ISLAND","44.286","-66.347","NS","6.9","0",NA,"14.1","0","1.8","0","",,NA,"86.4","0",NA,"0.0","15","",,NA,"332.0","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","5.1","0",NA,"17.5","0","0.0","0","",,NA,"98.1","0",NA,"0.0","14","",,NA,"386.1","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","5.9","0",NA,"19.4","0","-3.2","0","",,NA,"115.9","0",NA,"0.0","12","","",NA,"361.8","0.0","8200827"
"DEBERT","45.417","-63.467","NS","5.5","0",NA,"19.6","0","-5.0","0","",,NA,"105.9","0",NA,"0.0","12","",,NA,"375.4","0.0","8201390"
"DEMING","45.216","-61.178","NS","4.4","0","1.9","13.0","0","-2.0","0","3.0","0","29.0","146.4","0","106.0","0.0","17","","",NA,"406.9","0.0","8201410"
"GRAND ETANG","46.550","-61.050","NS","5.1","0",NA,"19.3","0","-3.3","0","",,NA,"",,NA,"0.0","","","",NA,"386.4","0.0","8201969"
"GREENWOOD A","44.983","-64.917","NS","5.8","0","0.5","21.6","0","-3.7","0","1.8","0","12.0","100.2","0","120.0","0.0","13","",,NA,"365.0","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","5.3","0","0.9","18.4","0","-2.1","0","3.1","0","19.0","122.9","0","107.0","0.0","13","",,NA,"380.3","0.0","8202250"
