"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","8.5","0",NA,"20.5","0","0.9","0","",,NA,"130.0","0",NA,"","12","",,NA,"295.0","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","7.0","0",NA,"20.1","0","2.3","0","",,NA,"",,NA,"","","",,NA,"340.0","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","8.9","0",NA,"22.9","0","3.8","0","",,NA,"136.6","0",NA,"","12","",,NA,"281.4","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","9.0","0",NA,"29.3","0","2.4","0","",,NA,"84.0","0",NA,"","11","",,NA,"278.3","0.6","8200774"
"CHETICAMP CS","46.645","-60.947","NS","8.5","0",NA,"26.1","0","-1.4","0","",,NA,"87.2","0",NA,"","11","",,NA,"294.6","0.0","8200827"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","8.4","0",NA,"31.0","0","-2.8","0","",,NA,"138.9","0",NA,"","13","",,NA,"301.1","2.8","8201001"
"DEBERT","45.417","-63.467","NS","10.1","0",NA,"27.0","0","-1.0","0","",,NA,"135.0","0",NA,"","14","",,NA,"244.3","0.4","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","8.5","2",NA,"29.5","2","-0.2","0","",,NA,"208.7","2",NA,"","11","",,NA,"275.0","0.2","8201780"
"GRAND ETANG","46.550","-61.050","NS","8.1","9",NA,"25.2","9","-10.3","9","",,NA,"",,NA,"","","",,NA,"216.9","0.0","8201969"
"GREENWOOD A","44.983","-64.917","NS","11.9","0","0.7","31.8","0","2.1","0","0.0","0","0.0","107.8","0","127.0","0.0","13","",,NA,"195.4","6.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","10.2","0",NA,"29.8","0","1.6","0","0.0","0",NA,"156.0","0",NA,"","13","",,NA,"243.8","3.5","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","7.1","0",NA,"24.3","0","1.2","0","",,NA,"",,NA,"","","",,NA,"337.0","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","6.6","1",NA,"19.6","1","-1.0","0","",,NA,"287.1","1",NA,"","11","",,NA,"343.3","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","11.0","0",NA,"31.8","0","0.9","0","",,NA,"172.9","0",NA,"","13","",,NA,"220.4","4.8","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","11.3","0",NA,"30.5","0","0.9","0","",,NA,"110.0","0",NA,"","11","",,NA,"209.7","3.2","8202810"
"LAKE MAJOR","44.717","-63.483","NS","9.9","5",NA,"31.5","5","-2.0","5","0.0","5",NA,"180.0","5",NA,"0.0","12","","",NA,"215.2","4.3","8202896"
"LYONS BROOK","45.658","-62.797","NS","10.4","4","0.3","30.0","2","1.0","4","0.0","1",NA,"104.4","1",NA,"0.0","16","","",NA,"211.0","6.5","8203230"
"NAPPAN AUTO","45.760","-64.241","NS","10.5","0",NA,"27.4","0","-0.5","0","",,NA,"134.1","0",NA,"","14","",,NA,"233.7","0.9","8203702"
"NORTHEAST MARGAREE (AUT)","46.368","-60.976","NS","8.7","9",NA,"29.2","9","-1.9","9","",,NA,"54.9","9",NA,"","10","",,NA,"205.6","0.0","8204154"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"",,NA,"0.0","","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","9.3","1",NA,"30.6","1","-2.1","0","",,NA,"110.2","0",NA,"","12","",,NA,"264.5","2.3","8204193"
"PARRSBORO","45.413","-64.347","NS","10.2","0",NA,"24.8","0","-0.8","0","",,NA,"116.3","0",NA,"","13","",,NA,"241.9","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","10.2","0","0.4","30.5","0","-5.0","0","0.0","0","0.0","164.5","0","127.0","0.0","14","","",NA,"246.1","5.3","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","7.4","13",NA,"23.8","12","-1.9","13","",,NA,"149.6","14",NA,"","11","",,NA,"190.8","0.0","8204495"
