"Environment and Climate Change Canada"
"Monthly Values for May - 2007"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ANNAPOLIS ROYAL","44.750","-65.517","NS","",,"","",,"",,"0.0","30",NA,"45.2","30",NA,"","1","","",NA,"","","8200100"
"BACCARO POINT","43.449","-65.471","NS","7.5","0",NA,"17.7","0","1.2","0","",,NA,"",,NA,"0.0","","","",NA,"324.9","0.0","8200254"
"BADDECK BELL","46.100","-60.750","NS","8.4","3",NA,"27.0","3","-2.0","3","12.8","3",NA,"64.0","3",NA,"0.0","8","","",NA,"269.1","0.3","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","6.5","0",NA,"19.2","0","0.5","0","",,NA,"",,NA,"0.0","","",,NA,"356.7","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","9.3","0",NA,"19.2","0","4.2","0","",,NA,"45.1","0",NA,"0.0","6","",,NA,"270.6","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","8.7","0",NA,"25.2","0","0.8","0","",,NA,"60.3","0",NA,"0.0","8","",,NA,"289.0","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","8.0","0",NA,"25.1","0","-1.3","0","",,NA,"104.0","0",NA,"0.0","15","","",NA,"309.4","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","9.7","0","0.4","25.0","0","0.0","0","1.0","0","118.0","47.0","0","45.0","0.0","9","","",NA,"257.2","0.5","8201000"
"DEBERT","45.417","-63.467","NS","9.4","0",NA,"26.4","0","-3.5","0","",,NA,"84.4","0",NA,"0.0","8","",,NA,"266.2","0.0","8201390"
"DEMING","45.216","-61.178","NS","6.5","0","-0.2","21.5","0","-1.5","0","0.0","0","0.0","49.8","0","42.0","0.0","9","","",NA,"357.1","0.0","8201410"
"GRAND ETANG","46.550","-61.050","NS","7.7","0",NA,"23.9","0","-2.1","0","",,NA,"",,NA,"0.0","","","",NA,"320.2","0.0","8201969"
"GREENWOOD A","44.983","-64.917","NS","10.1","0","-1.1","29.1","0","-3.1","0","0.0","0","0.0","86.9","0","102.0","0.0","7","",,NA,"245.5","1.7","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","9.1","0","-0.9","29.5","0","-1.1","0","0.4","0","20.0","92.3","0","82.0","0.0","8","",,NA,"277.1","0.7","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","7.3","0",NA,"25.1","0","-0.4","0","",,NA,"",,NA,"0.0","","",,NA,"331.4","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","8.3","0",NA,"25.7","0","-2.5","0","",,NA,"60.8","0",NA,"0.0","8","",,NA,"299.6","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","11.0","0",NA,"30.6","0","-1.3","0","",,NA,"64.5","0",NA,"0.0","7","",,NA,"221.9","5.5","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","10.7","0",NA,"28.7","0","-2.4","0","",,NA,"90.6","0",NA,"0.0","6","",,NA,"228.8","1.5","8202810"
"LAKE MAJOR","44.717","-63.483","NS","10.2","13",NA,"30.5","13","0.5","13","0.0","13",NA,"77.9","13",NA,"0.0","6","","",NA,"142.1","0.8","8202896"
"LUNENBURG","44.360","-64.296","NS","9.3","0",NA,"27.4","0","1.7","0","",,NA,"",,NA,"0.0","","","",NA,"271.2","0.0","8203210"
