"Environment and Climate Change Canada"
"Monthly Values for December - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","5.2","0",NA,"12.5","0","-8.8","0","",,NA,"177.5","0",NA,"0.0","11","",,NA,"397.7","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","3.0","1",NA,"9.9","1","-10.7","0","",,NA,"",,NA,"","","",,NA,"449.0","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","5.1","1",NA,"12.7","1","-7.8","0","",,NA,"128.6","1",NA,"1.0","13","",,NA,"388.4","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","2.3","1",NA,"14.5","1","-12.1","0","",,NA,"103.6","3",NA,"14.0","13","",,NA,"469.8","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","",,"","",,"-11.5","10","0.0","10",NA,"0.0","10",NA,"","0","","",NA,"","","8200810"
"CHETICAMP CS","46.645","-60.947","NS","1.4","0",NA,"13.5","0","-9.7","0","",,NA,"137.9","0",NA,"11.0","19","",,NA,"513.4","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","1.4","0","3.9","13.0","0","-11.0","0","0.0","0","0.0","0.0","0","0.0","","0","","",NA,"515.0","0.0","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","1.0","1",NA,"13.5","1","-11.5","0","",,NA,"125.1","1",NA,"16.0","16","",,NA,"509.9","0.0","8201001"
"DEBERT","45.417","-63.467","NS","0.6","0",NA,"11.9","0","-15.1","0","",,NA,"143.7","0",NA,"29.0","16","",,NA,"538.5","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","1.8","1",NA,"12.4","1","-8.1","0","",,NA,"156.3","1",NA,"7.0","16","",,NA,"486.5","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","2.4","0","4.3","14.6","0","-10.9","0","55.2","0","88.0","137.2","0","122.0","25.0","14","",,NA,"482.2","0.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","1.5","0",NA,"12.8","0","-14.9","0","57.5","0",NA,"156.9","0",NA,"21.0","14","",,NA,"511.1","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","2.7","1",NA,"10.9","1","-8.2","0","",,NA,"",,NA,"","","",,NA,"459.8","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","0.8","0",NA,"10.8","0","-8.1","0","",,NA,"148.4","0",NA,"12.0","17","",,NA,"533.4","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","2.2","2",NA,"14.0","2","-11.3","0","",,NA,"209.7","6",NA,"18.0","16","",,NA,"459.2","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","2.1","0",NA,"14.9","0","-14.4","0","",,NA,"154.7","0",NA,"21.0","13","",,NA,"493.3","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","2.3","6",NA,"12.5","6","-9.0","6","13.0","6",NA,"144.8","6",NA,"16.0","15","","",NA,"392.3","0.0","8202896"
