"Environment and Climate Change Canada"
"Monthly Values for April - 2012"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PORT HAWKESBURY","45.657","-61.368","NS","4.8","0",NA,"18.9","0","-8.3","0","",,NA,"115.0","2",NA,"","10","",,NA,"395.7","0.0","8204495"
"PUGWASH","45.843","-63.655","NS","6.5","17","2.3","23.0","17","-7.5","17","10.0","17",NA,"10.0","17",NA,"0.0","1","","",NA,"148.9","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","5.9","0",NA,"12.9","0","-4.8","0","",,NA,"83.5","1",NA,"","12","",,NA,"362.9","0.0","8204700"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","2.4","3",NA,"13.6","3","-2.8","0","",,NA,"",,NA,"","","",,NA,"420.7","0.0","8204909"
"SALMON HOLE","44.933","-64.033","NS","7.1","0","2.2","18.5","0","-2.0","0","10.0","0","81.0","51.3","0","46.0","","7","","",NA,"327.0","0.0","8205000"
"SHEARWATER RCS","44.630","-63.513","NS","5.9","1",NA,"15.0","1","-3.9","0","",,NA,"63.8","0",NA,"","9","",,NA,"350.7","0.0","8205092"
"SYDNEY A","46.167","-60.048","NS","4.9","0","2.3","18.5","0","-7.7","0","5.0","0","23.0","96.2","0","72.0","0.0","9","",,NA,"394.3","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","4.9","1",NA,"18.8","1","-7.3","0","",,NA,"85.3","4",NA,"","9","",,NA,"378.9","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","8.2","17",NA,"21.5","17","-4.0","18","13.6","0",NA,"87.0","0",NA,"0.0","7","","",NA,"127.4","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","5.9","0",NA,"19.8","0","-6.1","0","",,NA,"86.4","0",NA,"","7","",,NA,"363.0","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","7.2","0","2.1","25.0","0","-6.0","0","19.0","0","152.0","66.5","0","72.0","0.0","11","","",NA,"323.6","1.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","5.6","0",NA,"17.6","0","-3.7","0","",,NA,"62.9","0",NA,"","8","",,NA,"373.5","0.0","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"10.0","0","78.0","84.4","0","89.0","","8","","",NA,"","","8206316"
"YARMOUTH A","43.827","-66.088","NS","8.3","11",NA,"17.2","11","-3.5","11","0.0","12",NA,"38.1","12",NA,"","5","",,NA,"184.9","0.0","8206495"
"YARMOUTH COOLTAP","43.831","-66.089","NS","6.8","17",NA,"15.5","17","-3.0","17","",,NA,"",,NA,"","","","",NA,"146.2","0.0","8206497"
"YARMOUTH A","43.831","-66.089","NS","4.3","19","-0.8","12.4","19","-3.0","19","1.4","19",NA,"5.6","19",NA,"","2","",,NA,"150.5","0.0","8206500"
