"Environment and Climate Change Canada"
"Monthly Values for April - 2011"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","5.5","1",NA,"13.6","1","-2.8","0","",,NA,"122.4","1",NA,"","15","",,NA,"361.1","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","3.6","1",NA,"12.9","1","-4.3","0","",,NA,"",,NA,"","","",,NA,"417.2","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","7.0","0",NA,"13.8","0","0.6","0","",,NA,"102.7","0",NA,"","14","",,NA,"331.5","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","4.5","0",NA,"20.2","0","-5.6","0","",,NA,"43.3","0",NA,"","10","",,NA,"404.0","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","2.9","13",NA,"18.9","13","-5.7","13","",,NA,"41.9","13",NA,"","8","",,NA,"257.4","0.0","8200827"
"DEBERT","45.417","-63.467","NS","4.1","0",NA,"22.0","0","-10.0","0","",,NA,"73.9","0",NA,"","15","",,NA,"417.6","0.0","8201390"
"GREENWOOD A","44.983","-64.917","NS","5.8","0","0.5","21.8","0","-7.1","0","0.8","0","5.0","69.8","0","84.0","0.0","13","",,NA,"364.6","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.880","-63.500","NS","4.9","1","0.5","18.5","1","-6.4","1","10.3","0","65.0","124.2","0","108.0","0.0","16","",,NA,"378.9","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","3.6","0",NA,"12.7","0","-6.6","0","",,NA,"",,NA,"","","",,NA,"432.6","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","4.3","0",NA,"20.7","0","-7.2","0","",,NA,"97.6","0",NA,"","14","",,NA,"410.5","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","5.5","0",NA,"18.6","0","-5.4","0","",,NA,"146.6","0",NA,"","17","",,NA,"374.5","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","3.7","19",NA,"15.9","19","-5.6","18","",,NA,"17.7","20",NA,"","4","",,NA,"157.1","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","5.0","7",NA,"19.5","7","-5.5","7","0.0","7",NA,"103.0","7",NA,"0.0","12","","",NA,"298.2","0.0","8202896"
"LIVERPOOL BIG FALLS","44.133","-64.933","NS","6.9","14","1.3","20.5","11","-6.0","9","0.0","11",NA,"112.6","11",NA,"","11","","",NA,"177.0","0.0","8203100"
"LYONS BROOK","45.658","-62.797","NS","5.3","7","1.2","21.5","5","-10.0","7","8.0","4",NA,"58.0","4",NA,"","14","","",NA,"291.0","0.0","8203230"
"NAPPAN AUTO","45.760","-64.241","NS","4.6","0",NA,"19.4","0","-8.1","0","",,NA,"112.8","0",NA,"","15","",,NA,"403.0","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","1.1","0",NA,"16.4","0","-10.3","0","",,NA,"",,NA,"","","",,NA,"507.4","0.0","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","4.0","0",NA,"18.5","0","-9.8","0","",,NA,"66.3","0",NA,"","15","",,NA,"418.9","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","4.2","0",NA,"20.3","0","-8.8","0","",,NA,"111.5","0",NA,"","14","",,NA,"412.6","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","4.6","3","0.5","19.0","3","-5.5","3","3.0","3",NA,"105.6","3",NA,"0.0","14","","",NA,"362.8","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","4.1","0",NA,"19.0","0","-7.8","0","3.0","0",NA,"109.3","0",NA,"0.0","12","","",NA,"418.2","0.0","8204456"
"PORT HAWKESBURY","45.657","-61.368","NS","3.5","0",NA,"18.9","0","-9.8","0","",,NA,"93.8","0",NA,"","14","",,NA,"435.3","0.0","8204495"
"PUGWASH","45.843","-63.655","NS","4.8","15","0.5","22.0","15","-10.5","15","0.0","15",NA,"19.6","15",NA,"","4","","",NA,"198.7","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","4.7","0",NA,"12.4","0","-3.7","0","",,NA,"110.5","5",NA,"","15","",,NA,"398.1","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","6.5","0","2.2","20.0","0","-5.0","0","0.0","0","0.0","134.7","0","121.0","0.0","12","","",NA,"344.2","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","2.6","1",NA,"17.3","1","-7.0","0","",,NA,"",,NA,"","","",,NA,"446.4","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","5.3","0",NA,"19.1","0","-4.2","0","",,NA,"109.1","0",NA,"","16","",,NA,"381.5","0.0","8205092"
"SYDNEY A","46.167","-60.048","NS","3.5","0","1.0","18.0","0","-8.7","0","7.0","0","33.0","106.3","0","80.0","0.0","14","",,NA,"434.7","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","3.5","0",NA,"18.2","0","-9.6","0","",,NA,"105.4","0",NA,"","14","",,NA,"435.2","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","5.1","0",NA,"22.0","0","-8.5","0","2.4","0",NA,"27.4","0",NA,"0.0","6","","",NA,"386.0","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","4.3","0",NA,"20.2","0","-8.7","0","",,NA,"58.9","0",NA,"","12","",,NA,"411.9","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","6.4","0","1.3","22.5","0","-7.0","0","4.0","0","32.0","75.2","0","81.0","0.0","17","","",NA,"346.8","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","5.7","0",NA,"20.4","0","-3.8","0","",,NA,"154.6","0",NA,"","15","",,NA,"370.1","0.0","8206240"
"YARMOUTH A","43.831","-66.089","NS","5.6","0","0.5","16.2","0","-5.0","0","11.1","0","113.0","119.4","0","118.0","0.0","12","",,NA,"372.1","0.0","8206500"
