"Environment and Climate Change Canada"
"Monthly Values for February - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","-0.8","2",NA,"11.5","2","-13.9","0","",,NA,"115.5","2",NA,"","12","",,NA,"488.3","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-2.2","0",NA,"6.5","0","-14.1","0","",,NA,"",,NA,"","","",,NA,"565.3","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","-0.4","1",NA,"13.4","1","-11.5","0","",,NA,"29.1","1",NA,"","9","",,NA,"497.3","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-4.3","4",NA,"12.2","4","-18.1","3","",,NA,"48.6","4",NA,"1.0","12","",,NA,"536.0","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","-3.2","0",NA,"19.0","0","-15.2","0","",,NA,"88.6","0",NA,"13.0","18","",,NA,"593.3","0.0","8200827"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","-5.5","0",NA,"12.4","0","-26.4","0","",,NA,"82.0","0",NA,"3.0","12","",,NA,"658.2","0.0","8201001"
"DEBERT","45.417","-63.467","NS","-4.8","1",NA,"13.4","1","-25.7","0","",,NA,"59.2","1",NA,"27.0","10","",,NA,"614.3","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","-3.2","6",NA,"9.8","4","-15.9","3","",,NA,"98.4","6",NA,"","11","",,NA,"465.9","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","-2.8","0","2.1","20.0","0","-18.2","0","144.1","0","272.0","116.2","0","137.0","2.0","13","",,NA,"583.1","0.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","-3.4","1",NA,"12.3","0","-17.1","1","131.6","0",NA,"156.0","0",NA,"","12","",,NA,"578.4","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","-2.0","0",NA,"11.0","0","-13.3","0","",,NA,"",,NA,"","","",,NA,"560.8","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","-3.5","1",NA,"17.7","1","-14.1","0","",,NA,"134.8","1",NA,"50.0","16","",,NA,"580.5","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","-3.0","0",NA,"17.6","0","-18.4","0","",,NA,"171.5","0",NA,"20.0","13","",,NA,"588.6","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-3.5","1",NA,"14.1","1","-18.1","0","",,NA,"113.3","2",NA,"18.0","13","",,NA,"580.9","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-3.0","0",NA,"12.0","0","-20.0","0","49.0","0",NA,"80.4","0",NA,"0.0","11","","",NA,"587.5","0.0","8202896"
"LYONS BROOK","45.658","-62.797","NS","-2.9","2","3.0","13.0","2","-21.0","2","118.6","2",NA,"126.6","2",NA,"8.0","12","","",NA,"543.7","0.0","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","-3.2","0","2.0","14.0","0","-23.5","0","89.0","0","215.0","111.0","0","110.0","","9","","",NA,"593.2","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","-4.9","0",NA,"11.2","0","-23.3","0","",,NA,"98.5","0",NA,"37.0","9","",,NA,"640.3","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"",,NA,"203.0","","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","-4.3","0",NA,"14.2","0","-24.5","0","",,NA,"60.9","0",NA,"0.0","11","",,NA,"623.3","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","-4.4","0",NA,"13.1","0","-23.1","0","",,NA,"83.6","0",NA,"4.0","11","",,NA,"626.1","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-2.7","3","2.4","12.5","3","-19.5","3","96.4","3",NA,"152.6","3",NA,"0.0","11","","",NA,"518.7","0.0","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","-4.8","3",NA,"13.3","3","-17.0","3","",,NA,"15.2","7",NA,"","1","",,NA,"571.2","0.0","8204495"
"SABLE ISLAND","43.932","-60.009","NS","0.9","1",NA,"12.0","1","-8.3","0","",,NA,"88.5","2",NA,"","13","",,NA,"462.1","0.0","8204700"
"SABLE ISLAND A","43.946","-59.960","NS","0.2","13",NA,"9.0","13","-8.4","13","",,NA,"30.0","13",NA,"","5","",,NA,"267.7","0.0","8204703"
"ST MARGARET'S BAY","44.700","-63.900","NS","-3.7","0","1.4","12.0","0","-21.0","0","103.0","0","345.0","142.6","0","134.0","0.0","10","","",NA,"606.7","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-3.3","4",NA,"10.0","2","-12.2","3","",,NA,"",,NA,"","","",,NA,"511.7","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","-2.3","0",NA,"9.9","0","-14.4","0","",,NA,"93.6","0",NA,"0.0","11","",,NA,"568.1","0.0","8205092"
"SYDNEY A","46.161","-60.048","NS","-3.7","0",NA,"11.2","0","-15.6","0","132.1","0",NA,"143.6","0",NA,"4.0","11","",,NA,"606.8","0.0","8205701"
"SYDNEY CS","46.163","-60.042","NS","-3.7","1",NA,"11.3","1","-15.7","0","",,NA,"40.6","11",NA,"1.0","9","",,NA,"585.0","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","-4.5","0",NA,"15.5","0","-26.0","0","104.6","0",NA,"116.8","0",NA,"0.0","9","","",NA,"630.5","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","-3.7","0",NA,"13.2","0","-17.5","0","",,NA,"55.4","0",NA,"0.0","9","",,NA,"608.7","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","-2.8","0","2.1","15.5","0","-21.0","0","125.0","0","287.0","142.1","0","164.0","12.0","12","","",NA,"581.2","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","-1.9","1",NA,"12.0","1","-17.3","0","",,NA,"147.0","1",NA,"5.0","12","",,NA,"536.9","0.0","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"130.0","8",NA,"149.0","8",NA,"0.0","9","","",NA,"","","8206316"
"YARMOUTH RCS","43.831","-66.088","NS","-0.9","1",NA,"15.3","1","-14.6","0","",,NA,"48.4","1",NA,"","12","",,NA,"510.0","0.0","8206491"
"YARMOUTH A","43.827","-66.088","NS","-1.0","0",NA,"15.0","0","-14.1","0","92.2","0",NA,"82.2","0",NA,"","14","",,NA,"531.1","0.0","8206495"
