"Environment and Climate Change Canada"
"Monthly Values for May - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","6.3","0",NA,"21.8","0","-2.6","0","",,NA,"",,NA,"","","",,NA,"363.6","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","10.8","0",NA,"23.9","0","0.1","0","",,NA,"42.1","0",NA,"","7","",,NA,"224.7","0.0","8205092"
"SYDNEY A","46.161","-60.048","NS","9.5","0",NA,"30.1","0","-3.3","0","0.0","0",NA,"53.6","0",NA,"","7","",,NA,"270.5","6.0","8205701"
"SYDNEY CS","46.163","-60.042","NS","9.6","0",NA,"30.2","0","-3.0","0","",,NA,"66.5","0",NA,"","8","",,NA,"267.1","6.4","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","11.8","0",NA,"31.0","0","-4.0","0","0.0","0",NA,"41.6","0",NA,"0.0","8","","",NA,"200.9","10.0","8205774"
"TRACADIE","45.608","-61.680","NS","10.8","0",NA,"30.8","0","-2.4","0","",,NA,"47.1","0",NA,"","7","",,NA,"232.9","9.8","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","13.2","0","2.0","30.0","0","-1.0","0","0.0","0","0.0","56.1","0","57.0","0.0","8","","",NA,"162.9","12.7","8206222"
"WESTERN HEAD","43.990","-64.664","NS","9.4","0",NA,"25.1","0","-0.1","0","",,NA,"45.6","0",NA,"","6","",,NA,"267.7","0.0","8206240"
"YARMOUTH RCS","43.831","-66.088","NS","10.2","1",NA,"19.7","1","-0.1","0","",,NA,"54.6","1",NA,"","6","",,NA,"233.6","0.0","8206491"
"YARMOUTH A","43.827","-66.088","NS","10.2","0",NA,"20.2","0","-0.3","0","0.0","0",NA,"59.2","0",NA,"","6","",,NA,"243.0","0.0","8206495"
