"Environment and Climate Change Canada"
"Monthly Values for March - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","1.8","0",NA,"11.6","0","-8.7","0","",,NA,"72.9","0",NA,"","12","",,NA,"502.7","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","0.4","0",NA,"7.3","0","-11.5","0","",,NA,"",,NA,"","","",,NA,"544.7","0.0","8200558"
"BERWICK","45.083","-64.733","NS","0.9","18",NA,"10.0","18","-10.0","18","3.0","18",NA,"3.0","18",NA,"","1","","",NA,"222.0","0.0","8200578"
"BRIDGEWATER","44.400","-64.550","NS","1.3","0","1.8","13.0","0","-11.0","0","12.0","0","32.0","83.3","0","53.0","0.0","8","","",NA,"518.5","0.0","8200600"
"BRIER ISLAND","44.286","-66.347","NS","2.1","0",NA,"9.9","0","-8.6","0","",,NA,"55.8","0",NA,"","8","",,NA,"493.6","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-0.9","0",NA,"11.7","0","-13.4","0","",,NA,"84.8","0",NA,"22.0","14","",,NA,"586.5","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","2.3","5","1.5","11.5","5","-7.5","5","0.0","5",NA,"0.0","5",NA,"","0","","",NA,"409.2","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","0.4","0",NA,"13.8","0","-11.8","0","",,NA,"89.8","0",NA,"29.0","11","",,NA,"546.2","0.0","8200827"
"CHETICAMP SNOW","46.633","-60.950","NS","",,NA,"",,"",,"24.8","3",NA,"53.3","3",NA,"10.0","7","","",NA,"","","8200830"
"COLLEGEVILLE","45.483","-62.017","NS","0.2","0","2.3","16.0","0","-15.0","0","54.6","0","165.0","54.6","0","50.0","","4","","",NA,"552.4","0.0","8201000"
"DEBERT","45.417","-63.467","NS","-0.6","0",NA,"13.0","0","-13.6","0","",,NA,"68.6","0",NA,"","9","",,NA,"577.8","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","-0.1","0",NA,"8.5","0","-11.3","0","",,NA,"96.3","1",NA,"","11","",,NA,"560.7","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","0.9","0","1.6","12.1","0","-12.1","0","39.6","0","91.0","62.4","0","66.0","0.0","11","",,NA,"530.7","0.0","8202000"
"HALIFAX","44.881","-63.509","NS","-0.6","7",NA,"7.0","7","-13.1","7","7.9","7",NA,"19.1","7",NA,"","8","",,NA,"445.5","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","0.0","0",NA,"7.4","0","-10.7","0","",,NA,"",,NA,"","","",,NA,"558.5","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","-0.5","0",NA,"11.5","0","-11.4","0","",,NA,"132.7","0",NA,"43.0","12","",,NA,"572.1","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","0.7","0",NA,"13.5","0","-11.9","0","",,NA,"86.0","0",NA,"","9","",,NA,"537.3","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","0.7","0",NA,"12.3","0","-12.1","0","",,NA,"69.6","0",NA,"","11","",,NA,"535.4","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","0.6","7",NA,"10.0","7","-13.0","7","21.0","7",NA,"81.2","7",NA,"0.0","8","","",NA,"418.6","0.0","8202896"
"LR.SACKVILLE/BEDFORD SNOW","44.756","-63.659","NS","",,NA,"",,"",,"26.0","24",NA,"26.0","24",NA,"","4","","",NA,"","","8203171"
"LYONS BROOK","45.658","-62.797","NS","0.5","8","2.1","13.0","8","-12.0","8","48.0","8",NA,"81.0","8",NA,"3.0","10","","",NA,"402.8","0.0","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","0.8","0","2.1","14.0","0","-13.5","0","25.0","0","80.0","79.2","0","64.0","","10","","",NA,"532.8","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","-0.1","0",NA,"13.0","0","-13.1","0","",,NA,"74.5","0",NA,"","14","",,NA,"562.0","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","-1.9","27",NA,"6.8","26","-5.6","23","",,NA,"",,NA,"","","",,NA,"79.6","0.0","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","0.1","0",NA,"14.6","0","-14.1","0","",,NA,"71.3","0",NA,"","11","",,NA,"553.6","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","0.1","0",NA,"11.0","0","-13.3","0","",,NA,"65.9","0",NA,"1.0","10","",,NA,"554.0","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-0.1","14","1.3","8.0","14","-9.0","14","7.5","14",NA,"26.0","14",NA,"","6","","",NA,"307.3","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","-0.6","0",NA,"10.2","0","-11.8","0","60.0","0",NA,"99.2","0",NA,"","7","","",NA,"577.3","0.0","8204456"
"PORT HAWKESBURY","45.657","-61.368","NS","-1.3","1",NA,"9.0","1","-14.2","1","",,NA,"51.5","3",NA,"","7","",,NA,"578.3","0.0","8204495"
"PUGWASH","45.843","-63.655","NS","-3.0","28","-1.3","2.0","28","-9.0","28","0.0","28",NA,"0.0","28",NA,"","0","","",NA,"63.0","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","1.9","0",NA,"9.0","0","-8.4","0","",,NA,"54.0","0",NA,"","8","",,NA,"499.5","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","1.5","0","2.7","13.0","0","-12.0","0","19.0","0","76.0","88.2","0","66.0","0.0","8","","",NA,"510.5","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-1.0","2",NA,"4.4","2","-9.0","0","",,NA,"",,NA,"","","",,NA,"552.0","0.0","8204909"
"SALMON HOLE","44.933","-64.033","NS","1.7","0","2.8","8.5","0","-7.0","0","30.0","0","82.0","100.6","0","82.0","0.0","8","","",NA,"505.5","0.0","8205000"
"SHEARWATER RCS","44.630","-63.513","NS","1.1","0",NA,"9.6","0","-11.3","0","",,NA,"76.3","0",NA,"1.0","11","",,NA,"525.4","0.0","8205092"
"SYDNEY A","46.167","-60.048","NS","-1.3","0","1.3","7.1","0","-14.0","0","65.0","0","135.0","120.0","0","92.0","6.0","14","",,NA,"598.5","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","-0.8","0",NA,"8.0","0","-11.9","0","",,NA,"68.6","3",NA,"25.0","11","",,NA,"584.2","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","-0.4","0",NA,"14.0","0","-13.0","0","23.6","0",NA,"69.4","0",NA,"0.0","7","","",NA,"569.6","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","-1.0","0",NA,"13.1","0","-12.9","0","",,NA,"84.7","0",NA,"13.0","13","",,NA,"587.9","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","1.2","0","2.1","12.5","0","-11.5","0","29.0","0","80.0","70.5","0","68.0","0.0","12","","",NA,"520.0","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","1.2","0",NA,"12.9","0","-11.1","0","",,NA,"112.3","0",NA,"","8","",,NA,"519.3","0.0","8206240"
"YARMOUTH RCS","43.831","-66.088","NS","1.5","0",NA,"10.5","0","-8.9","0","",,NA,"53.3","0",NA,"","9","",,NA,"512.8","0.0","8206491"
"YARMOUTH A","43.827","-66.088","NS","1.4","0",NA,"10.2","0","-9.2","0","35.6","0",NA,"62.2","0",NA,"","8","",,NA,"515.4","0.0","8206495"
