"Environment and Climate Change Canada"
"Monthly Values for May - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","8.6","2",NA,"15.7","2","1.8","1","",,NA,"65.8","1",NA,"","13","",,NA,"271.3","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","7.4","0",NA,"14.8","0","2.0","0","",,NA,"",,NA,"","","",,NA,"327.1","0.0","8200558"
"BERWICK","45.083","-64.733","NS","11.9","6",NA,"29.0","6","-2.0","6","0.0","6",NA,"66.0","6",NA,"","10","","",NA,"155.3","2.0","8200578"
"BRIDGEWATER","44.400","-64.550","NS","12.1","0","1.6","32.0","0","-1.0","0","0.0","0","0.0","101.8","0","80.0","","14","","",NA,"188.5","4.5","8200600"
"BRIER ISLAND","44.286","-66.347","NS","9.5","0",NA,"23.4","0","3.0","0","",,NA,"98.3","0",NA,"","13","",,NA,"262.6","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","10.7","0",NA,"28.9","0","1.4","0","",,NA,"65.3","0",NA,"","10","",,NA,"229.1","3.4","8200774"
"CHETICAMP CS","46.645","-60.947","NS","11.4","0",NA,"26.3","0","-1.4","0","",,NA,"81.8","0",NA,"","13","",,NA,"213.6","7.9","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","10.9","0","1.6","32.0","0","-5.0","0","0.0","0","0.0","92.4","0","89.0","","14","","",NA,"224.5","4.8","8201000"
"DEBERT","45.417","-63.467","NS","10.1","0",NA,"25.4","0","-2.4","0","",,NA,"77.2","0",NA,"","12","",,NA,"243.7","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","9.7","0",NA,"23.9","0","-0.4","0","",,NA,"90.1","1",NA,"","10","",,NA,"256.4","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","12.1","0","0.9","29.9","0","-1.0","0","0.0","0","0.0","77.7","0","92.0","0.0","12","",,NA,"189.4","5.6","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","10.4","0",NA,"28.6","0","-1.0","0","0.0","1",NA,"99.8","0",NA,"","17","",,NA,"241.1","4.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","8.2","0",NA,"23.0","0","0.2","0","",,NA,"",,NA,"","","",,NA,"303.0","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","9.6","1",NA,"26.7","1","-2.1","0","",,NA,"64.6","2",NA,"","8","",,NA,"257.1","4.4","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","11.5","0",NA,"30.4","0","-1.5","0","",,NA,"91.1","1",NA,"","13","",,NA,"205.3","4.1","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","11.8","0",NA,"29.2","0","-0.8","0","",,NA,"73.1","1",NA,"","13","",,NA,"197.4","4.9","8202810"
"LAKE MAJOR","44.717","-63.483","NS","10.6","11",NA,"29.0","11","-1.0","11","0.0","11",NA,"88.8","11",NA,"0.0","9","","",NA,"151.3","3.5","8202896"
"LIVERPOOL MILTON","44.083","-64.767","NS","",,NA,"",,"",,"0.0","30",NA,"0.0","30",NA,"","0","","",NA,"","","8203120"
"LOUISBOURG","45.900","-60.000","NS","16.5","30","9.6","25.0","30","8.0","30","0.0","30",NA,"2.4","30",NA,"0.0","1","","",NA,"1.5","0.0","8203161"
"LYONS BROOK","45.658","-62.797","NS","11.5","1","1.4","25.5","1","-2.5","1","0.0","1",NA,"105.0","1",NA,"","14","","",NA,"196.7","1.8","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","11.1","0","1.2","30.5","0","-2.5","0","0.0","0","0.0","105.6","0","100.0","","14","","",NA,"215.7","2.8","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","10.7","0",NA,"27.0","0","-2.4","0","",,NA,"64.1","0",NA,"","8","",,NA,"228.0","0.5","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","8.7","0",NA,"23.1","0","-2.2","0","",,NA,"71.2","0",NA,"","16","",,NA,"289.8","1.5","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","10.5","0",NA,"29.5","0","-3.6","0","",,NA,"72.7","0",NA,"","10","",,NA,"235.2","3.3","8204193"
"PARRSBORO","45.413","-64.347","NS","9.8","1",NA,"24.3","1","-2.4","0","",,NA,"109.1","1",NA,"","14","",,NA,"245.3","0.1","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","11.0","21","1.2","28.0","21","-1.5","21","0.0","21",NA,"32.9","21",NA,"0.0","4","","",NA,"72.8","3.0","8204453"
"POINT ACONI","46.317","-60.333","NS","9.7","1",NA,"25.2","1","-3.0","1","0.0","1",NA,"91.8","1",NA,"","10","","",NA,"248.3","0.0","8204456"
"PORT HAWKESBURY","45.657","-61.368","NS","9.8","1",NA,"28.5","1","-2.7","1","",,NA,"74.5","1",NA,"","11","",,NA,"249.7","2.8","8204495"
"SABLE ISLAND","43.932","-60.009","NS","8.5","0",NA,"15.0","0","0.6","0","",,NA,"76.0","0",NA,"","10","",,NA,"295.6","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","10.3","0","0.8","25.0","0","0.0","0","0.0","0","0.0","114.6","0","96.0","0.0","9","","",NA,"240.0","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","6.7","0",NA,"20.7","0","1.8","0","",,NA,"",,NA,"","","",,NA,"350.6","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","9.9","0",NA,"27.1","0","0.5","0","",,NA,"104.5","0",NA,"","15","",,NA,"253.8","3.4","8205092"
"SYDNEY A","46.167","-60.048","NS","9.5","0","1.6","26.6","0","-3.7","0","0.0","0","0.0","126.0","0","122.0","0.0","10","",,NA,"264.1","0.6","8205700"
"SYDNEY CS","46.163","-60.042","NS","9.5","3",NA,"27.1","3","-4.1","2","",,NA,"118.9","4",NA,"","10","",,NA,"238.1","0.4","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","11.9","0",NA,"30.0","0","-2.0","0","0.0","0",NA,"81.2","0",NA,"0.0","10","","",NA,"190.7","2.0","8205774"
"TRACADIE","45.608","-61.680","NS","10.6","0",NA,"28.3","0","-1.7","0","",,NA,"49.6","0",NA,"","8","",,NA,"232.3","3.6","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","12.5","0","1.4","30.0","0","-1.5","0","0.0","0","0.0","63.9","0","65.0","0.0","10","","",NA,"177.7","7.8","8206222"
