"Environment and Climate Change Canada"
"Monthly Values for May - 2005"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"AMHERST (AUT)","45.850","-64.267","NS","8.5","28",NA,"14.0","28","2.6","28","",,NA,"11.0","28",NA,"","1","",,NA,"28.5","0.0","8200091"
"BADDECK BELL","46.100","-60.750","NS","7.9","0",NA,"18.0","0","-2.0","0","14.4","0",NA,"103.2","0",NA,"0.0","10","","",NA,"311.9","0.0","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","5.7","0",NA,"11.9","0","-0.4","0","",,NA,"",,NA,"","","",,NA,"382.4","0.0","8200558"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","7.2","0",NA,"17.4","0","-0.4","0","",,NA,"71.8","0",NA,"0.0","10","",,NA,"335.5","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","9.3","0",NA,"22.5","0","-2.2","0","",,NA,"50.6","0",NA,"0.0","8","","",NA,"270.5","0.0","8200827"
"DEBERT","45.417","-63.467","NS","9.2","0",NA,"21.0","0","-1.9","0","",,NA,"104.3","0",NA,"0.0","14","",,NA,"273.5","0.0","8201390"
"GREENWOOD A","44.983","-64.917","NS","9.4","0","-1.9","21.7","0","-0.5","0","0.0","0","0.0","156.2","0","184.0","0.0","15","",,NA,"267.7","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","8.4","0","-1.6","20.2","0","-1.9","0","0.0","0","0.0","318.7","0","285.0","0.0","11","",,NA,"298.7","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","6.0","1",NA,"23.7","0","-7.2","1","",,NA,"",,NA,"","","",,NA,"359.5","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","7.1","0",NA,"16.3","0","-1.4","0","",,NA,"161.4","0",NA,"0.0","13","",,NA,"338.6","0.0","8202502"
"KEJIMKUJIK 1","44.432","-65.203","NS","9.3","0",NA,"22.6","0","-1.2","0","",,NA,"267.1","0",NA,"0.0","15","",,NA,"269.2","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","9.2","0",NA,"20.9","0","-1.0","0","",,NA,"180.0","0",NA,"0.0","15","","",NA,"271.5","0.0","8202810"
"LYONS BROOK","45.658","-62.797","NS","8.7","3","-1.5","20.0","2","0.0","2","0.0","0","0.0","106.5","0","127.0","0.0","11","","",NA,"260.9","0.0","8203230"
"MALAY FALLS","44.983","-62.483","NS","9.3","0",NA,"21.4","0","-1.7","0","",,NA,"172.9","0",NA,"0.0","10","","",NA,"270.8","0.0","8203405"
"NAPPAN CDA","45.767","-64.250","NS","8.7","0","-1.5","21.0","0","-1.6","0","",,NA,"92.4","0","92.0","0.0","15","","",NA,"288.2","0.0","8203700"
"NAPPAN AUTO","45.760","-64.241","NS","8.5","0",NA,"21.0","0","-1.6","0","",,NA,"96.5","0",NA,"","13","",,NA,"294.4","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","6.4","0",NA,"18.8","0","-5.2","0","",,NA,"34.7","0",NA,"0.0","6","","",NA,"358.2","0.0","8204161"
"PARRSBORO","45.413","-64.347","NS","8.8","0",NA,"20.8","0","-2.0","0","",,NA,"158.0","0",NA,"0.0","14","",,NA,"284.6","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","8.5","5","-1.4","20.0","5","-2.0","0","0.0","0","0.0","368.8","0","285.0","0.0","14","","",NA,"246.9","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","6.4","0",NA,"18.3","0","-2.2","0","1.0","0",NA,"144.1","0",NA,"0.0","13","","",NA,"360.1","0.0","8204456"
