"Environment and Climate Change Canada"
"Monthly Values for April - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","3.7","0",NA,"15.6","0","-3.4","0","",,NA,"81.5","0",NA,"","14","",,NA,"428.7","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","1.6","0",NA,"11.0","0","-5.5","0","",,NA,"",,NA,"","","",,NA,"491.5","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","4.0","0",NA,"11.1","0","-2.8","0","",,NA,"93.4","1",NA,"","13","",,NA,"418.7","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","0.4","0",NA,"12.6","0","-9.3","0","",,NA,"110.1","0",NA,"","12","",,NA,"527.8","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","2.7","9","-2.2","12.0","9","-7.0","9","0.0","9",NA,"0.0","9",NA,"","0","","",NA,"321.8","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","0.5","0",NA,"15.6","0","-11.7","0","",,NA,"77.3","0",NA,"14.0","10","",,NA,"525.3","0.0","8200827"
"CHETICAMP SNOW","46.633","-60.950","NS","",,NA,"",,"",,"14.8","4",NA,"9.4","4",NA,"","3","","",NA,"","","8200830"
"COLLEGEVILLE","45.483","-62.017","NS","2.3","1","-1.1","16.0","1","-10.0","1","0.0","1",NA,"0.0","1",NA,"","0","","",NA,"454.2","0.0","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","-0.2","0",NA,"12.0","0","-22.3","0","",,NA,"91.4","0",NA,"","12","",,NA,"546.5","0.0","8201001"
"DEBERT","45.417","-63.467","NS","0.7","2",NA,"13.0","2","-19.8","1","",,NA,"94.1","1",NA,"23.0","11","",,NA,"483.1","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","0.7","0",NA,"12.3","0","-10.1","0","",,NA,"90.0","0",NA,"","13","",,NA,"518.6","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","2.9","0","-2.4","17.5","0","-14.4","0","17.4","0","115.0","82.4","0","99.0","0.0","13","",,NA,"451.9","0.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","2.0","0",NA,"13.6","0","-9.6","0","23.2","1",NA,"103.3","1",NA,"","10","",,NA,"481.4","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","1.1","0",NA,"8.9","0","-7.4","0","",,NA,"",,NA,"","","",,NA,"506.0","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","0.1","0",NA,"15.3","0","-12.6","0","",,NA,"113.3","0",NA,"","13","",,NA,"537.5","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","2.8","0",NA,"18.2","0","-9.5","0","",,NA,"119.6","0",NA,"1.0","12","",,NA,"455.5","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","2.8","0",NA,"14.2","0","-13.2","0","",,NA,"82.5","1",NA,"","11","",,NA,"457.3","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","2.4","7",NA,"13.0","7","-11.0","7","10.0","7",NA,"123.4","7",NA,"0.0","11","","",NA,"358.5","0.0","8202896"
"LYONS BROOK","45.658","-62.797","NS","1.9","11","-2.3","12.5","11","-10.0","11","9.5","11",NA,"73.5","11",NA,"6.0","9","","",NA,"306.4","0.0","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","2.6","0","-1.8","15.5","0","-17.0","0","10.0","0","105.0","94.6","0","87.0","","14","","",NA,"463.2","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","1.4","0",NA,"13.7","0","-15.9","0","",,NA,"72.1","0",NA,"","10","",,NA,"499.4","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"0.0","23",NA,"215.0","0","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","1.5","0",NA,"14.3","0","-20.0","0","",,NA,"80.2","0",NA,"","12","",,NA,"495.8","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","1.6","0",NA,"15.6","0","-16.5","0","",,NA,"108.5","0",NA,"0.0","11","",,NA,"492.9","0.0","8204402"
