"Environment and Climate Change Canada"
"Monthly Values for December - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"PUGWASH","45.843","-63.655","NS","3.4","24","6.2","8.5","24","-14.5","24","0.0","24",NA,"36.4","24",NA,"","3","","",NA,"102.4","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","",,NA,"",,"",,"",,NA,"146.0","8",NA,"","11","",,NA,"","","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","2.7","0","4.5","15.0","0","-9.0","0","14.0","0","59.0","199.0","0","150.0","0.0","12","","",NA,"473.0","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","3.3","1",NA,"7.7","1","-3.2","0","",,NA,"",,NA,"","","",,NA,"441.8","0.0","8204909"
"SALMON HOLE","44.933","-64.033","NS","0.7","0","2.9","16.0","0","-9.0","0","28.0","0","65.0","168.0","0","116.0","18.0","11","","",NA,"535.7","0.0","8205000"
"SHEARWATER RCS","44.630","-63.513","NS","2.3","0",NA,"12.2","0","-6.3","0","",,NA,"186.7","0",NA,"","16","",,NA,"486.0","0.0","8205092"
"SOUTH SIDE HARBOUR","45.617","-61.900","NS","2.0","6",NA,"13.8","6","-9.8","6","5.9","6",NA,"156.8","6",NA,"0.0","11","","",NA,"399.7","0.0","8205193"
"SYDNEY A","46.167","-60.048","NS","2.6","0","4.1","9.5","0","-6.8","0","12.6","0","22.0","442.5","0","265.0","0.0","20","",,NA,"478.1","0.0","8205700"
"SYDNEY CS","46.163","-60.042","NS","2.6","0",NA,"9.4","0","-7.2","0","",,NA,"326.0","0",NA,"","19","",,NA,"476.3","0.0","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","1.3","0",NA,"16.0","0","-9.5","0","24.4","0",NA,"190.2","0",NA,"0.0","16","","",NA,"518.6","0.0","8205774"
"TRACADIE","45.608","-61.680","NS","2.4","0",NA,"12.4","0","-7.2","0","",,NA,"203.8","0",NA,"","12","",,NA,"483.4","0.0","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","1.3","0","3.3","16.5","0","-9.0","0","53.0","0","111.0","177.9","0","156.0","19.0","17","","",NA,"517.3","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","2.0","0",NA,"12.2","0","-8.4","0","",,NA,"210.6","0",NA,"","15","",,NA,"497.2","0.0","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"0.0","0","0.0","124.0","0","104.0","0.0","9","","",NA,"","","8206316"
"WRECK COVE BROOK","46.533","-60.450","NS","2.4","6","4.3","11.0","5","-11.5","6","0.0","5",NA,"491.4","5",NA,"0.0","16","","",NA,"389.3","0.0","8206450"
"YARMOUTH A","43.831","-66.089","NS","1.3","0","1.1","16.5","0","-7.2","0","70.2","0","161.0","166.2","0","126.0","3.0","20","",,NA,"518.6","0.0","8206500"
