"Environment and Climate Change Canada"
"Monthly Values for March - 2012"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","2.9","0",NA,"15.5","0","-4.9","0","",,NA,"76.2","0",NA,"","13","",,NA,"467.1","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","1.5","0",NA,"16.0","0","-7.5","0","",,NA,"",,NA,"","","",,NA,"510.2","0.0","8200558"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"27.0","0",NA,"76.2","0",NA,"","12","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","3.2","0","3.8","28.5","0","-10.0","0","24.0","0","64.0","67.2","0","43.0","","10","","",NA,"458.8","1.3","8200600"
"BRIER ISLAND","44.286","-66.347","NS","3.8","0",NA,"19.4","0","-5.6","0","",,NA,"43.2","1",NA,"","8","",,NA,"441.7","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","0.7","0",NA,"19.3","0","-10.4","0","",,NA,"34.7","0",NA,"","10","",,NA,"536.2","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","-0.7","23","-1.5","8.0","23","-35.0","14","0.0","14",NA,"0.0","14",NA,"","0","","",NA,"149.7","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","0.4","0",NA,"18.8","0","-12.5","0","",,NA,"68.1","0",NA,"5.0","9","",,NA,"545.2","0.0","8200827"
"CHETICAMP SNOW","46.633","-60.950","NS","",,NA,"",,"",,"32.4","0",NA,"31.4","0",NA,"0.0","7","","",NA,"","","8200830"
"COLLEGEVILLE","45.483","-62.017","NS","1.3","0","3.4","26.5","0","-20.0","0","8.6","0","26.0","16.6","0","15.0","","9","","",NA,"518.8","1.3","8201000"
"DEBERT","45.417","-63.467","NS","-0.3","0",NA,"19.4","0","-19.6","0","",,NA,"38.3","0",NA,"1.0","9","",,NA,"568.8","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","1.3","6",NA,"22.8","5","-15.0","4","",,NA,"33.1","8",NA,"2.0","7","",,NA,"418.3","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","2.4","0","3.2","25.8","0","-10.8","0","18.7","0","43.0","50.8","0","54.0","0.0","11","",,NA,"482.1","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.880","-63.500","NS","1.9","0","3.2","27.2","0","-12.4","0","28.9","0","78.0","64.5","0","54.0","0.0","12","",,NA,"500.6","1.4","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","1.2","0",NA,"24.8","0","-7.6","0","",,NA,"",,NA,"","","",,NA,"521.0","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","0.5","0",NA,"21.3","0","-12.3","0","",,NA,"47.2","1",NA,"","9","",,NA,"541.1","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","2.4","0",NA,"27.9","0","-9.6","0","",,NA,"94.5","0",NA,"2.0","16","",,NA,"484.3","0.2","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","2.5","0",NA,"25.7","0","-11.4","0","",,NA,"47.0","0",NA,"","10","",,NA,"482.1","0.9","8202810"
"LAKE MAJOR","44.717","-63.483","NS","2.2","2",NA,"30.0","2","-12.0","2","19.0","2",NA,"52.9","2",NA,"0.0","11","","",NA,"461.3","2.6","8202896"
"LIVERPOOL BIG FALLS","44.133","-64.933","NS","3.9","18","3.8","24.5","14","-9.0","13","0.0","15",NA,"34.5","14",NA,"","6","","",NA,"182.7","0.0","8203100"
"LOUISBOURG","45.900","-60.000","NS","0.7","0","2.9","26.0","0","-16.0","0","17.8","0","43.0","50.6","0","35.0","","10","","",NA,"537.1","0.0","8203161"
"LR.SACKVILLE/BEDFORD SNOW","44.759","-63.653","NS","",,NA,"",,"",,"28.8","0",NA,"89.2","0",NA,"0.0","11","","",NA,"","","8203171"
"LYONS BROOK","45.658","-62.797","NS","2.9","6","4.5","28.0","6","-12.0","6","30.0","6",NA,"48.0","6",NA,"","9","","",NA,"378.7","0.3","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","2.1","0","3.3","28.0","0","-14.5","0","18.0","0","57.0","43.8","0","35.0","","11","","",NA,"493.7","0.0","8203535"
