"Environment and Climate Change Canada"
"Monthly Values for June - 2008"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"POINT ACONI","46.317","-60.333","NS","13.0","0",NA,"27.3","0","4.0","0","0.0","0",NA,"86.6","0",NA,"0.0","10","","",NA,"156.4","7.8","8204456"
"HAWKESBURY","45.617","-61.367","NS","14.3","0",NA,"26.7","0","5.2","0","0.0","0",NA,"71.6","0",NA,"0.0","12","","",NA,"117.7","7.1","8204493"
"PUGWASH","45.843","-63.655","NS","16.7","16","0.8","27.0","16","4.0","16","0.0","16",NA,"13.9","16",NA,"","4","","",NA,"26.4","7.8","8204525"
"SABLE ISLAND","43.932","-60.009","NS","11.0","0",NA,"19.5","0","4.0","0","",,NA,"77.5","0",NA,"","5","134.3","0",NA,"210.8","0.0","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","14.9","0","0.6","30.0","0","1.5","0","0.0","0",NA,"31.6","0","33.0","","6","","",NA,"98.4","4.8","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","9.9","0",NA,"20.6","0","4.9","0","",,NA,"",,NA,"","","",,NA,"242.2","0.0","8204909"
"SALMON HOLE","44.933","-64.033","NS","15.2","0","-0.6","28.5","0","2.5","0","0.0","0",NA,"48.8","0","54.0","","6","","",NA,"84.1","0.3","8205000"
"SHEARWATER AUTO","44.636","-63.507","NS","13.9","0",NA,"29.1","0","5.4","0","",,NA,"44.0","0",NA,"","5","",,NA,"128.4","4.3","8205091"
"SOUTH SIDE HARBOUR","45.617","-61.900","NS","15.0","1",NA,"27.3","1","0.9","1","0.0","1",NA,"67.0","1",NA,"","6","","",NA,"97.5","9.5","8205193"
"SYDNEY A","46.167","-60.048","NS","13.1","0","-0.1","26.4","0","6.2","0","0.0","0",NA,"88.2","0","91.0","0.0","15","",,NA,"150.8","3.7","8205700"
"SYDNEY CS","46.163","-60.042","NS","12.5","7",NA,"26.5","7","5.7","6","",,NA,"58.4","8",NA,"","10","",,NA,"128.5","1.6","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","15.7","2",NA,"28.0","2","0.0","2","0.0","2",NA,"49.8","2",NA,"0.0","9","","",NA,"72.4","8.1","8205774"
"TRACADIE","45.608","-61.680","NS","14.4","0",NA,"26.4","0","3.1","0","",,NA,"63.1","0",NA,"","6","",,NA,"118.3","8.8","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","17.3","0","1.1","28.5","0","3.0","0","0.0","0",NA,"26.3","0","34.0","","9","","",NA,"43.6","21.7","8206222"
"WESTERN HEAD","43.990","-64.664","NS","13.4","0",NA,"26.8","0","5.2","0","",,NA,"30.2","0",NA,"","6","",,NA,"141.0","2.5","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"0.0","0",NA,"42.0","0","54.0","","5","","",NA,"","","8206316"
"WRECK COVE BROOK","46.533","-60.450","NS","13.2","2","-0.2","27.0","2","6.0","2","0.0","2",NA,"100.8","2",NA,"","9","","",NA,"138.2","2.5","8206450"
"YARMOUTH A","43.831","-66.089","NS","14.8","0","1.0","27.4","0","6.2","0","0.0","0",NA,"38.0","0","40.0","0.0","7","175.4","0","81.0","97.0","2.3","8206500"
