"Environment and Climate Change Canada"
"Monthly Values for April - 2005"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"AMHERST (AUT)","45.850","-64.267","NS","4.5","3",NA,"16.9","3","-4.6","0","",,NA,"101.6","16",NA,"","6","",,NA,"364.4","0.0","8200091"
"ANNAPOLIS ROYAL","44.750","-65.517","NS","6.1","0","1.0","19.0","0","-4.5","0","11.0","0","143.0","114.9","1",NA,"0.0","11","","",NA,"357.2","0.0","8200100"
"AVONDALE","45.017","-64.117","NS","5.4","0",NA,"19.0","0","-5.5","0","7.6","0",NA,"101.2","0",NA,"0.0","11","","",NA,"377.0","0.0","8200210"
"BADDECK BELL","46.100","-60.750","NS","4.1","0",NA,"16.0","0","-6.0","0","7.0","0",NA,"79.2","0",NA,"0.0","15","","",NA,"417.2","0.0","8200301"
"BEAR RIVER","44.567","-65.633","NS","",,NA,"",,"",,"5.0","0","55.0","135.6","3",NA,"0.0","9","","",NA,"","","8200500"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","2.9","0",NA,"12.2","0","-2.6","0","",,NA,"",,NA,"","","",,NA,"451.6","0.0","8200558"
"BERWICK","45.083","-64.733","NS","5.9","0",NA,"19.5","0","-8.0","0","12.0","0",NA,"105.0","0",NA,"0.0","11","","",NA,"362.4","0.0","8200578"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"9.0","0",NA,"115.6","1",NA,"0.0","11","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","5.3","0","0.3","24.5","0","-7.5","0","6.0","0","43.0","192.6","0","152.0","0.0","15","","",NA,"380.2","0.0","8200600"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","4.5","0",NA,"16.3","0","-4.0","0","",,NA,"54.5","0",NA,"0.0","8","",,NA,"404.4","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","5.8","0","0.9","17.0","0","-4.0","0","0.0","1",NA,"141.6","4",NA,"0.0","10","","",NA,"366.1","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","6.0","6",NA,"17.3","5","-6.5","5","",,NA,"42.3","6",NA,"0.0","8","","",NA,"288.2","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","4.4","0","1.0","18.0","0","-8.0","0","8.2","0","64.0","93.8","0","100.0","0.0","11","","",NA,"407.0","0.0","8201000"
"DEBERT","45.417","-63.467","NS","5.0","0",NA,"17.0","0","-8.2","0","",,NA,"104.5","0",NA,"0.0","11","",,NA,"389.2","0.0","8201390"
"DEMING","45.216","-61.178","NS","2.8","0","0.2","12.5","0","-5.0","0","2.0","0","19.0","73.0","0","53.0","0.0","10","","",NA,"457.2","0.0","8201410"
"GREENWOOD A","44.983","-64.917","NS","6.0","0","0.7","19.3","0","-6.0","0","12.6","0","83.0","90.0","0","108.0","0.0","13","",,NA,"359.6","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","5.0","0","0.6","20.1","0","-3.6","0","5.2","0","33.0","122.5","0","107.0","0.0","11","",,NA,"391.2","0.0","8202250"
