"Environment and Climate Change Canada"
"Monthly Values for February - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","0.9","1",NA,"10.6","1","-10.5","0","",,NA,"138.8","1",NA,"0.0","13","",,NA,"479.6","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-1.1","2",NA,"9.0","2","-15.1","0","",,NA,"",,NA,"","","",,NA,"516.1","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","0.6","1",NA,"12.2","1","-12.4","0","",,NA,"97.7","1",NA,"0.0","10","",,NA,"486.3","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-1.7","0",NA,"14.5","0","-19.0","0","",,NA,"86.1","0",NA,"0.0","10","",,NA,"571.9","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","-10.7","26","-9.0","-7.5","26","-13.0","16","0.0","16",NA,"0.0","16",NA,"","0","","",NA,"86.1","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","-1.7","0",NA,"16.6","0","-15.4","0","",,NA,"103.1","0",NA,"","16","",,NA,"571.8","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","-2.9","2","3.2","13.0","2","-21.0","2","0.0","2",NA,"0.0","2",NA,"","0","","",NA,"563.8","0.0","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","-3.6","0",NA,"14.3","0","-23.6","0","",,NA,"142.2","0",NA,"0.0","13","",,NA,"626.2","0.0","8201001"
"DEBERT","45.417","-63.467","NS","-3.0","0",NA,"15.9","0","-21.4","0","",,NA,"86.6","0",NA,"","13","",,NA,"610.2","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","-2.0","2",NA,"11.4","2","-15.8","0","",,NA,"115.5","2",NA,"0.0","10","",,NA,"540.8","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","-0.9","0","4.0","17.6","0","-15.4","0","46.8","0","88.0","102.7","0","121.0","0.0","11","",,NA,"548.3","0.0","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","-2.1","0",NA,"13.6","0","-17.1","0","36.8","0",NA,"147.3","0",NA,"","12","",,NA,"581.9","0.0","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","-0.7","0",NA,"11.3","0","-17.8","0","",,NA,"",,NA,"","","",,NA,"541.6","0.0","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","-2.2","0",NA,"15.6","0","-15.4","0","",,NA,"138.4","0",NA,"0.0","16","",,NA,"586.9","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","-1.5","0",NA,"15.1","0","-15.6","0","",,NA,"152.0","0",NA,"0.0","12","",,NA,"564.4","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-1.4","0",NA,"17.3","0","-15.6","0","",,NA,"117.1","0",NA,"0.0","10","",,NA,"564.0","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-1.0","4",NA,"13.5","4","-18.0","4","33.5","4",NA,"138.7","4",NA,"0.0","12","","",NA,"474.2","0.0","8202896"
"LYONS BROOK","45.658","-62.797","NS","-0.6","15","5.3","16.5","15","-20.0","15","21.0","15",NA,"44.5","15",NA,"0.0","6","","",NA,"260.6","0.0","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","-1.1","0","4.2","14.5","0","-19.0","0","33.0","0","80.0","143.8","0","143.0","","12","","",NA,"552.9","0.0","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","-3.2","0",NA,"16.2","0","-19.7","0","",,NA,"91.0","0",NA,"0.0","13","",,NA,"614.6","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"123.1","1",NA,"95.0","17","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","-2.1","0",NA,"15.2","0","-23.5","0","",,NA,"93.4","0",NA,"","13","",,NA,"583.1","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","-2.5","0",NA,"16.9","0","-21.8","0","",,NA,"95.2","0",NA,"0.0","13","",,NA,"595.1","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-0.5","16","4.6","14.0","16","-12.0","16","15.5","16",NA,"63.6","16",NA,"0.0","5","","",NA,"240.5","0.0","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","-2.7","3",NA,"13.6","3","-19.2","3","",,NA,"103.9","3",NA,"","9","",,NA,"538.0","0.0","8204495"
"SABLE ISLAND","43.932","-60.009","NS","2.1","2",NA,"12.3","2","-8.4","0","",,NA,"65.5","2",NA,"","12","",,NA,"430.0","0.0","8204700"
"SABLE ISLAND A","43.946","-59.960","NS","1.7","4",NA,"10.9","4","-8.0","4","",,NA,"66.5","4",NA,"","12","",,NA,"408.0","0.0","8204703"
"ST MARGARET'S BAY","44.700","-63.900","NS","-1.8","2","3.3","15.0","2","-21.0","2","31.0","2",NA,"100.7","2",NA,"0.0","9","","",NA,"534.3","0.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-2.2","5",NA,"11.2","3","-12.6","3","",,NA,"",,NA,"","","",,NA,"485.1","0.0","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","-1.0","1",NA,"12.3","1","-15.5","0","",,NA,"121.6","1",NA,"0.0","9","",,NA,"531.5","0.0","8205092"
"SYDNEY A","46.161","-60.048","NS","-2.7","0",NA,"12.1","0","-19.4","0","92.6","0",NA,"154.2","0",NA,"1.0","17","",,NA,"599.7","0.0","8205701"
